sensor_id,sensor_name,temperature C,dewpoint C,humidity,vpd
448148.686490323532842,1.6K Lab,23.5,12.8,51.22,1.4
448148.686490323532842,1.6K Lab,23.4,12.8,51.28,1.4
448148.686490323532842,1.6K Lab,23.5,12.8,51.22,1.4
448148.686490323532842,1.6K Lab,23.5,12.8,51.19,1.4
448148.686490323532842,1.6K Lab,23.5,12.8,51.13,1.4
448148.686490323532842,1.6K Lab,23.5,12.8,51.1,1.4
448148.686490323532842,1.6K Lab,23.5,12.7,51.04,1.41
448148.686490323532842,1.6K Lab,23.5,12.7,51.01,1.41
448148.686490323532842,1.6K Lab,23.5,12.7,50.95,1.41
448148.686490323532842,1.6K Lab,23.5,12.7,50.92,1.41
448148.686490323532842,1.6K Lab,23.5,12.7,50.88,1.41
455975.5050267550565296,HyQ Lab,22.4,13.0,55.37,1.2
455975.5050267550565296,HyQ Lab,22.4,13.0,55.37,1.2
455975.5050267550565296,HyQ Lab,22.4,13.0,55.34,1.2
455975.5050267550565296,HyQ Lab,22.4,13.0,55.34,1.2
455975.5050267550565296,HyQ Lab,22.4,12.9,55.34,1.2
455975.5050267550565296,HyQ Lab,22.4,12.9,55.34,1.2
455975.5050267550565296,HyQ Lab,22.4,13.0,55.34,1.2
455975.5050267550565296,HyQ Lab,22.4,12.9,55.34,1.2
455975.5050267550565296,HyQ Lab,22.4,13.0,55.34,1.2
