sensor_id,tiimestamp,temperature C,dewpoint C,humidity,vpd
448148.6864903235,2025-08-31T18:22:55.000Z,23.4,13.4,53.23,1.34
448148.6864903235,2025-08-31T18:21:57.000Z,23.4,13.4,53.2,1.34
448148.6864903235,2025-08-31T18:21:35.000Z,23.4,13.4,53.2,1.34
448148.6864903235,2025-08-31T18:21:08.000Z,23.4,13.4,53.2,1.34
448148.6864903235,2025-08-31T18:18:08.000Z,23.4,13.4,53.17,1.34
448148.6864903235,2025-08-31T18:17:08.000Z,23.4,13.3,53.14,1.35
448148.6864903235,2025-08-31T18:16:08.000Z,23.4,13.4,53.17,1.34
448148.6864903235,2025-08-31T18:26:58.000Z,23.4,13.4,53.27,1.34
448148.6864903235,2025-08-31T18:24:55.000Z,23.4,13.4,53.23,1.34
448148.6864903235,2025-08-31T18:22:55.000Z,23.4,13.4,53.23,1.34
448148.6864903235,2025-08-31T18:21:57.000Z,23.4,13.4,53.2,1.34
448148.6864903235,2025-08-31T18:21:35.000Z,23.4,13.4,53.2,1.34
448148.6864903235,2025-08-31T18:21:08.000Z,23.4,13.4,53.2,1.34
448148.6864903235,2025-08-31T18:53:54.000Z,23.4,13.5,53.45,1.33
448148.6864903235,2025-08-31T18:52:47.000Z,23.4,13.4,53.42,1.34
448148.6864903235,2025-08-31T18:52:22.000Z,23.4,13.4,53.42,1.33
448148.6864903235,2025-08-31T18:52:08.000Z,23.4,13.4,53.42,1.33
448148.6864903235,2025-08-31T18:51:08.000Z,23.4,13.4,53.39,1.34
448148.6864903235,2025-08-31T18:49:08.000Z,23.4,13.4,53.39,1.33
448148.6864903235,2025-08-31T18:48:08.000Z,23.4,13.4,53.36,1.34
448148.6864903235,2025-08-31T18:47:08.000Z,23.4,13.4,53.36,1.33
448148.6864903235,2025-08-31T18:58:47.000Z,23.4,13.5,53.54,1.33
448148.6864903235,2025-08-31T18:56:47.000Z,23.4,13.5,53.51,1.33
448148.6864903235,2025-08-31T18:55:49.000Z,23.4,13.5,53.48,1.33
448148.6864903235,2025-08-31T18:53:54.000Z,23.4,13.5,53.45,1.33
448148.6864903235,2025-08-31T18:52:47.000Z,23.4,13.4,53.42,1.34
448148.6864903235,2025-08-31T18:52:22.000Z,23.4,13.4,53.42,1.33
448148.6864903235,2025-08-31T18:52:08.000Z,23.4,13.4,53.42,1.33
448148.6864903235,2025-08-31T18:51:08.000Z,23.4,13.4,53.39,1.34
448148.6864903235,2025-08-31T18:49:08.000Z,23.4,13.4,53.39,1.33
448148.6864903235,2025-08-31T19:24:08.000Z,23.4,13.6,54.06,1.32
448148.6864903235,2025-08-31T19:23:39.000Z,23.4,13.6,54.06,1.32
448148.6864903235,2025-08-31T19:22:08.000Z,23.4,13.6,54.03,1.32
448148.6864903235,2025-08-31T19:21:08.000Z,23.4,13.6,54.0,1.32
448148.6864903235,2025-08-31T19:19:08.000Z,23.4,13.6,53.97,1.32
448148.6864903235,2025-08-31T19:17:08.000Z,23.4,13.6,53.94,1.32
448148.6864903235,2025-08-31T19:16:08.000Z,23.4,13.6,53.91,1.32
