sensor_id,tiimestamp,temperature C,dewpoint C,humidity,vpd
506624.79813502997,2025-08-31T18:06:44.000Z,22.5,13.7,57.81,1.14
506624.79813502997,2025-08-31T18:05:44.000Z,22.5,13.7,57.78,1.14
506624.79813502997,2025-08-31T18:02:44.000Z,22.5,13.7,57.75,1.14
506624.79813502997,2025-08-31T18:01:44.000Z,22.5,13.7,57.72,1.14
506624.79813502997,2025-08-31T18:00:44.000Z,22.5,13.7,57.69,1.14
506624.79813502997,2025-08-31T17:59:44.000Z,22.5,13.7,57.66,1.14
506624.79813502997,2025-08-31T17:57:44.000Z,22.5,13.7,57.63,1.15
506624.79813502997,2025-08-31T18:11:58.000Z,22.5,13.7,57.9,1.14
506624.79813502997,2025-08-31T18:11:05.000Z,22.5,13.7,57.87,1.14
506624.79813502997,2025-08-31T18:08:58.000Z,22.5,13.7,57.87,1.14
506624.79813502997,2025-08-31T18:07:50.000Z,22.5,13.7,57.84,1.14
506624.79813502997,2025-08-31T18:07:44.000Z,22.5,13.7,57.84,1.14
506624.79813502997,2025-08-31T18:06:44.000Z,22.5,13.7,57.81,1.14
506624.79813502997,2025-08-31T18:05:44.000Z,22.5,13.7,57.78,1.14
506624.79813502997,2025-08-31T18:36:44.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:35:44.000Z,22.4,13.8,58.03,1.13
506624.79813502997,2025-08-31T18:34:44.000Z,22.4,13.8,58.06,1.13
506624.79813502997,2025-08-31T18:33:44.000Z,22.4,13.8,58.03,1.13
506624.79813502997,2025-08-31T18:32:44.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:31:44.000Z,22.4,13.8,58.06,1.13
506624.79813502997,2025-08-31T18:30:44.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:29:44.000Z,22.4,13.8,58.06,1.13
506624.79813502997,2025-08-31T18:28:44.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:43:02.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:41:02.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:38:44.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:36:44.000Z,22.4,13.8,58.0,1.13
506624.79813502997,2025-08-31T18:35:44.000Z,22.4,13.8,58.03,1.13
506624.79813502997,2025-08-31T18:34:44.000Z,22.4,13.8,58.06,1.13
506624.79813502997,2025-08-31T19:08:06.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:07:44.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:07:21.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:06:44.000Z,22.4,14.0,58.67,1.12
506624.79813502997,2025-08-31T19:05:44.000Z,22.4,13.9,58.64,1.12
506624.79813502997,2025-08-31T19:04:44.000Z,22.4,13.9,58.61,1.12
506624.79813502997,2025-08-31T19:02:44.000Z,22.4,13.9,58.54,1.12
506624.79813502997,2025-08-31T19:01:44.000Z,22.4,13.9,58.51,1.12
506624.79813502997,2025-08-31T19:00:44.000Z,22.4,13.9,58.42,1.12
506624.79813502997,2025-08-31T18:59:44.000Z,22.4,13.9,58.39,1.12
506624.79813502997,2025-08-31T19:12:49.000Z,22.4,14.0,58.88,1.11
506624.79813502997,2025-08-31T19:12:05.000Z,22.4,14.0,58.82,1.11
506624.79813502997,2025-08-31T19:10:56.000Z,22.4,14.0,58.79,1.11
506624.79813502997,2025-08-31T19:09:57.000Z,22.4,14.0,58.76,1.11
506624.79813502997,2025-08-31T19:09:25.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:08:06.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:07:44.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:07:21.000Z,22.4,14.0,58.7,1.12
506624.79813502997,2025-08-31T19:06:44.000Z,22.4,14.0,58.67,1.12
506624.79813502997,2025-08-31T19:05:44.000Z,22.4,13.9,58.64,1.12
506624.79813502997,2025-08-31T19:04:44.000Z,22.4,13.9,58.61,1.12
