sensor_id,tiimestamp,temperature C,dewpoint C,humidity,vpd
455894.5632779415,2025-08-31T18:22:51.000Z,22.6,13.4,56.38,1.19
455894.5632779415,2025-08-31T18:22:26.000Z,22.6,13.4,56.35,1.19
455894.5632779415,2025-08-31T18:21:26.000Z,22.6,13.4,56.35,1.19
455894.5632779415,2025-08-31T18:20:26.000Z,22.6,13.4,56.35,1.19
455894.5632779415,2025-08-31T18:17:26.000Z,22.6,13.4,56.32,1.19
455894.5632779415,2025-08-31T18:15:26.000Z,22.6,13.4,56.29,1.19
455894.5632779415,2025-08-31T18:13:26.000Z,22.6,13.4,56.26,1.19
455894.5632779415,2025-08-31T18:27:02.000Z,22.6,13.4,56.44,1.19
455894.5632779415,2025-08-31T18:25:02.000Z,22.6,13.4,56.41,1.19
455894.5632779415,2025-08-31T18:24:03.000Z,22.6,13.4,56.41,1.19
455894.5632779415,2025-08-31T18:23:26.000Z,22.6,13.4,56.38,1.19
455894.5632779415,2025-08-31T18:22:51.000Z,22.6,13.4,56.38,1.19
455894.5632779415,2025-08-31T18:22:26.000Z,22.6,13.4,56.35,1.19
455894.5632779415,2025-08-31T18:21:26.000Z,22.6,13.4,56.35,1.19
455894.5632779415,2025-08-31T18:20:26.000Z,22.6,13.4,56.35,1.19
455894.5632779415,2025-08-31T18:53:46.000Z,22.6,13.6,56.62,1.18
455894.5632779415,2025-08-31T18:49:26.000Z,22.6,13.6,56.62,1.18
455894.5632779415,2025-08-31T18:47:26.000Z,22.6,13.6,56.59,1.18
455894.5632779415,2025-08-31T18:45:26.000Z,22.6,13.6,56.59,1.18
455894.5632779415,2025-08-31T18:59:04.000Z,22.6,13.6,56.65,1.18
455894.5632779415,2025-08-31T18:57:01.000Z,22.6,13.6,56.65,1.18
455894.5632779415,2025-08-31T18:56:02.000Z,22.6,13.6,56.65,1.18
455894.5632779415,2025-08-31T18:54:26.000Z,22.6,13.6,56.62,1.18
455894.5632779415,2025-08-31T18:54:01.000Z,22.6,13.6,56.65,1.18
455894.5632779415,2025-08-31T18:53:46.000Z,22.6,13.6,56.62,1.18
455894.5632779415,2025-08-31T18:49:26.000Z,22.6,13.6,56.62,1.18
455894.5632779415,2025-08-31T18:54:26.000Z,22.6,13.6,56.62,1.18
455894.5632779415,2025-08-31T19:23:26.000Z,22.6,13.6,56.81,1.18
455894.5632779415,2025-08-31T19:22:26.000Z,22.6,13.6,56.81,1.18
455894.5632779415,2025-08-31T19:20:26.000Z,22.6,13.7,56.81,1.18
455894.5632779415,2025-08-31T19:16:26.000Z,22.6,13.7,56.77,1.18
455894.5632779415,2025-08-31T19:15:26.000Z,22.7,13.7,56.77,1.18
