sensor_id,timestamp,temperature C,dewpoint C,humidity,vpd
457328.3276496711,2025-08-31T18:12:25.000Z,23.0,13.5,55.07,1.25
457328.3276496711,2025-08-31T18:12:11.000Z,23.0,13.5,55.07,1.25
457328.3276496711,2025-08-31T18:12:00.000Z,23.0,13.5,55.07,1.25
457328.3276496711,2025-08-31T18:11:25.000Z,23.0,13.5,55.04,1.26
457328.3276496711,2025-08-31T18:10:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:09:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:08:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:07:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:06:25.000Z,23.0,13.5,54.97,1.26
457328.3276496711,2025-08-31T18:05:25.000Z,23.0,13.4,54.94,1.26
457328.3276496711,2025-08-31T18:04:25.000Z,23.0,13.4,54.91,1.26
457328.3276496711,2025-08-31T18:03:25.000Z,23.0,13.4,54.88,1.26
457328.3276496711,2025-08-31T18:17:11.000Z,23.0,13.5,55.16,1.25
457328.3276496711,2025-08-31T18:15:13.000Z,23.0,13.5,55.13,1.25
457328.3276496711,2025-08-31T18:13:17.000Z,23.0,13.5,55.1,1.25
457328.3276496711,2025-08-31T18:12:25.000Z,23.0,13.5,55.07,1.25
457328.3276496711,2025-08-31T18:12:11.000Z,23.0,13.5,55.07,1.25
457328.3276496711,2025-08-31T18:12:00.000Z,23.0,13.5,55.07,1.25
457328.3276496711,2025-08-31T18:11:25.000Z,23.0,13.5,55.04,1.26
457328.3276496711,2025-08-31T18:10:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:09:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:08:25.000Z,23.0,13.5,55.0,1.26
457328.3276496711,2025-08-31T18:43:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:43:09.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:42:49.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:42:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:41:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:40:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:38:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:35:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:34:25.000Z,23.0,13.6,55.28,1.25
457328.3276496711,2025-08-31T18:48:12.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:47:09.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:46:09.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:44:29.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:43:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:43:09.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:42:49.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:42:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:41:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T18:40:25.000Z,23.0,13.6,55.34,1.25
457328.3276496711,2025-08-31T19:24:12.000Z,23.1,13.8,55.71,1.25
457328.3276496711,2025-08-31T19:23:10.000Z,23.1,13.7,55.68,1.24
457328.3276496711,2025-08-31T19:21:34.000Z,23.1,13.7,55.65,1.24
457328.3276496711,2025-08-31T19:21:25.000Z,23.1,13.7,55.65,1.24
457328.3276496711,2025-08-31T19:19:25.000Z,23.1,13.7,55.65,1.24
457328.3276496711,2025-08-31T19:18:25.000Z,23.1,13.7,55.61,1.24
457328.3276496711,2025-08-31T19:16:25.000Z,23.0,13.7,55.61,1.24
